"date","banksy.tot","banksy.pos","banksy.neg","banksy.neu","banksy.imp","burmavj.tot","burmavj.pos","burmavj.neg","burmavj.neu","burmavj.imp","dangerousman.tot","dangerousman.pos","dangerousman.neg","dangerousman.neu","dangerousman.imp","foodinc.tot","foodinc.pos","foodinc.neg","foodinc.neu","foodinc.imp","gasland.tot","gasland.pos","gasland.neg","gasland.neu","gasland.imp","hellandbackagain.tot","hellandbackagain.pos","hellandbackagain.neg","hellandbackagain.neu","hellandbackagain.imp","ifatreefalls.tot","ifatreefalls.pos","ifatreefalls.neg","ifatreefalls.neu","ifatreefalls.imp","insidejob.tot","insidejob.pos","insidejob.neg","insidejob.neu","insidejob.imp","paradiselost3.tot","paradiselost3.pos","paradiselost3.neg","paradiselost3.neu","paradiselost3.imp","pina.tot","pina.pos","pina.neg","pina.neu","pina.imp","restrepo.tot","restrepo.pos","restrepo.neg","restrepo.neu","restrepo.imp","thecove.tot","thecove.pos","thecove.neg","thecove.neu","thecove.imp","wasteland.tot","wasteland.pos","wasteland.neg","wasteland.neu","wasteland.imp","whichwayhome.tot","whichwayhome.pos","whichwayhome.neg","whichwayhome.neu","whichwayhome.imp","burmavj.goog","thecove.goog","dangerousman.goog","wasteland.goog","whichwayhome.goog","banksy.goog","foodinc.goog","gasland.goog","hellandbackagain.goog","ifatreefalls.goog","insidejob.goog","paradiselost3.goog","restrepo.goog","banksy.tv.cts","banksy.show.cts","banksy.pap.cts","banksy.article.cts","dangerousman.tv.cts","dangerousman.show.cts","dangerousman.pap.cts","dangerousman.article.cts","foodinc.tv.cts","foodinc.show.cts","foodinc.pap.cts","foodinc.article.cts","gasland.tv.cts","gasland.show.cts","gasland.pap.cts","gasland.article.cts","hellandbackagain.tv.cts","hellandbackagain.show.cts","hellandbackagain.pap.cts","hellandbackagain.article.cts","ifatreefalls.tv.cts","ifatreefalls.show.cts","ifatreefalls.pap.cts","ifatreefalls.article.cts","insidejob.tv.cts","insidejob.show.cts","insidejob.pap.cts","insidejob.article.cts","paradiselost3.tv.cts","paradiselost3.show.cts","paradiselost3.pap.cts","paradiselost3.article.cts","pina.tv.cts","pina.show.cts","pina.pap.cts","pina.article.cts","restrepo.tv.cts","restrepo.show.cts","restrepo.pap.cts","restrepo.article.cts","thecove.tv.cts","thecove.show.cts","thecove.pap.cts","thecove.article.cts","wasteland.tv.cts","wasteland.show.cts","wasteland.pap.cts","wasteland.article.cts","burmavj.tv.cts","burmavj.show.cts","burmavj.pap.cts","burmavj.article.cts","whichwayhome.tv.cts","whichwayhome.show.cts","whichwayhome.pap.cts","whichwayhome.article.cts","pina.goog"
"2009-08-31",0,0,0,0,0,0,0,0,0,0,2,0,0,2,4208,22,7,1,14,43015,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1477,1,0,0,1,119,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,50,13,14,23,2614720,2,0,0,2,1477,3,1,0,2,33,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-01",0,0,0,0,0,1,0,0,1,650,0,0,0,0,0,17,5,0,12,17273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,1,20,42512,0,0,0,0,0,5,1,1,3,1677,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-02",0,0,0,0,0,0,0,0,0,0,2,0,0,2,100,11,4,1,6,37228,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88,0,0,0,0,0,0,0,0,0,0,2,1,0,1,340,0,0,0,0,0,51,13,3,35,116212,1,0,0,1,88,2,0,0,2,0,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,6,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,36,5,42,234983,0,0,0,0,0,1,1,0,0,89,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-04",0,0,0,0,0,2,1,0,1,982,1,0,0,1,84,35,16,3,16,136025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,1,27,176220,0,0,0,0,0,6,1,0,5,5712,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-05",0,0,0,0,0,1,0,0,1,517,0,0,0,0,0,17,8,1,8,9751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,9080,0,0,0,0,0,50,11,0,39,62701,0,0,0,0,0,9,4,1,4,4678,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-06",1,1,0,0,225,1,1,0,0,69,0,0,0,0,0,30,18,1,11,52194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,19,75946,0,0,0,0,0,2,0,0,2,0,10,25,4,0,14,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,7,7378,0,0,0,0,0,0,0,0,0,0,3,0,1,2,11656,1,1,0,0,0,0,0,0,0,0,4,0,0,4,3764,0,0,0,0,0,47,15,5,27,667042,3,0,1,2,11656,2,0,0,2,1117,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-08",0,0,0,0,0,6,0,0,6,71165,1,0,0,1,12631,17,7,0,10,11612,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,57,0,0,0,0,0,31,8,3,20,30034,1,0,0,1,0,1,0,0,1,326,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-09",0,0,0,0,0,4,2,0,2,634,0,0,0,0,0,17,6,1,10,22736,0,0,0,0,0,0,0,0,0,0,1,0,0,1,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,3,16,2580725,1,0,0,1,804,2,0,1,1,0,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
